FROM,TO,BAYES_FACTOR,POSTERIOR PROBABILITY,Downsampling,seed
Europe,Jordan,18406.76,1,RE,3124
Northern America,Jordan,548.78,0.983358548,RE,3124
Jordan,Europe,85.15,0.901664145,RE,3124
Western Asia,Jordan,35.09,0.79072113,RE,3124
Southern Asia,Jordan,12.25,0.568835098,RE,3124
Europe,Jordan,15109.89,1,EII,39
Western Asia,Jordan,88.89,0.905405405,EII,39
Northern America,Jordan,54.78,0.855036855,EII,39
Europe,Jordan,15499.94,1,RE,81943
Western Asia,Jordan,15499.94,1,RE,81943
Northern America,Jordan,218.79,0.959281437,RE,81943
Jordan,Europe,3.14,0.252694611,RE,81943
Europe,Jordan,33454.53,1,III,72
Western Asia,Jordan,33454.53,1,III,72
Northern America,Jordan,121.95,0.95853697,III,72
Europe,Jordan,4399.41,1,III,54
Western Asia,Jordan,4399.41,1,III,54
Northern America,Jordan,875.66,0.994011976,III,54
Eastern Asia,Jordan,10.92,0.674251497,III,54
Europe,Jordan,27340.82,1,EII,90
Western Asia,Jordan,82.49,0.898811545,EII,90
Northern America,Jordan,65.64,0.876061121,EII,90
Europe,Jordan,18527.49,1,RE,324
Western Asia,Jordan,2050.35,0.995490982,RE,324
Northern America,Jordan,315.92,0.971442886,RE,324
Eastern Asia,Jordan,3.19,0.255511022,RE,324
Europe,Jordan,25847.87,1,III,124
Western Asia,Jordan,25847.87,1,III,124
Northern America,Jordan,1841.38,0.99714344,III,124
Jordan,Europe,14.16,0.728626811,III,124
Jordan,Northern America,4.59,0.465007141,III,124
Europe,Jordan,9704.88,1,EII,657
Northern America,Jordan,530.39,0.982791587,EII,657
Western Asia,Jordan,501.98,0.981835564,EII,657
Jordan,Europe,10.83,0.538240918,EII,657
